,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
35,model_type.alexnet,activation.relu,0.8138020833333334,0.5467603405316671,0.8210828,0.51271045,35,0.01,0.0005,2714.45636343956
36,model_type.alexnet,activation.relu,0.8107638888888888,0.5634405083126492,0.8247439,0.5031738,36,0.01,0.0005,2789.4511342048645
37,model_type.alexnet,activation.relu,0.7952473958333334,0.6317362785339355,0.8258443,0.49411085,37,0.01,0.0005,2863.8469729423523
38,model_type.alexnet,activation.relu,0.8293185763888888,0.5038229922453562,0.8314261,0.47992396,38,0.01,0.0005,2938.2163281440735
39,model_type.alexnet,activation.relu,0.8273654513888888,0.5143890115949843,0.8377281,0.46552554,39,0.01,0.0005,3013.069106578827
40,model_type.alexnet,activation.relu,0.8313802083333334,0.5064724352624681,0.84142923,0.45508683,40,0.01,0.0005,3088.0733456611633
41,model_type.alexnet,activation.relu,0.8306206597222222,0.5024301376607683,0.8459507,0.4435796,41,0.01,0.0005,3162.8555912971497
42,model_type.alexnet,activation.relu,0.8302951388888888,0.5033580164114634,0.8466109,0.4346748,42,0.01,0.0005,3238.0015618801117
43,model_type.alexnet,activation.relu,0.8284505208333334,0.5137181083361307,0.85139245,0.42298317,43,0.01,0.0005,3312.456742286682
44,model_type.alexnet,activation.relu,0.8372395833333334,0.5010484192106459,0.8556338,0.41349348,44,0.01,0.0005,3388.186128139496
45,model_type.alexnet,activation.relu,0.8434244791666666,0.47031471133232117,0.85819465,0.40503606,45,0.01,0.0005,3462.6874570846558
46,model_type.alexnet,activation.relu,0.8464626736111112,0.4567471444606781,0.85915494,0.4028001,46,0.01,0.0005,3537.555018901825
