,Model,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
32,model_type.resnet18,0.5192307692307693,2.1234248876571655,0.7394766,0.9578584,32,0.1,0.0005,7134.678392648697
33,model_type.resnet18,0.6095753205128205,1.641896353318141,0.87647045,0.5073043,33,0.1,0.0005,7370.944676399231
34,model_type.resnet18,0.6139823717948718,1.6342541926946395,0.91477275,0.38152388,34,0.1,0.0005,7607.311824798584
35,model_type.resnet18,0.6137820512820513,1.634144352032588,0.93052775,0.3302861,35,0.1,0.0005,7858.290466070175
36,model_type.resnet18,0.6153846153846154,1.6348892412124536,0.94213146,0.2940524,36,0.1,0.0005,8096.133870124817
37,model_type.resnet18,0.609375,1.6559626758098602,0.94887364,0.2669409,37,0.1,0.0005,8322.360036373138
38,model_type.resnet18,0.6183894230769231,1.6408717999091516,0.9554557,0.24508937,38,0.1,0.0005,8533.524935245514
39,model_type.resnet18,0.6097756410256411,1.6634648151886768,0.96240795,0.2242187,39,0.1,0.0005,8745.393211126328
40,model_type.resnet18,0.608573717948718,1.676544006054218,0.9659991,0.20773917,40,0.1,0.0005,8968.770259141922
41,model_type.resnet18,0.6131810897435898,1.6658788185853224,0.9706806,0.19157517,41,0.1,0.0005,9209.187629699707
42,model_type.resnet18,0.6141826923076923,1.6702548662821453,0.9733615,0.18082719,42,0.1,0.0005,9448.940618276596
43,model_type.resnet18,0.6131810897435898,1.6912828041956975,0.9769426,0.16858238,43,0.1,0.0005,9692.037131547928
44,model_type.resnet18,0.6131810897435898,1.6968926588694255,0.9796235,0.1574133,44,0.1,0.0005,9925.022045850754
45,model_type.resnet18,0.6115785256410257,1.7022125919659932,0.98177415,0.14832345,45,0.1,0.0005,10141.586653232574
46,model_type.resnet18,0.6095753205128205,1.7099532683690388,0.9837048,0.13960512,46,0.1,0.0005,10355.564785718918
47,model_type.resnet18,0.616386217948718,1.7030864824087193,0.9858355,0.13177812,47,0.1,0.0005,10563.050948858261
48,model_type.resnet18,0.6113782051282052,1.7145751042243762,0.987636,0.124099486,48,0.1,0.0005,10773.103879213333
49,model_type.resnet18,0.6113782051282052,1.7116069090672028,0.9882562,0.11933176,49,0.1,0.0005,10993.30660533905
